recipe_id,ing_id,ing_name,cat,continent
238378,20269,red onion,plant,LAT
238378,6307,olive oil,condiment,LAT
238378,2351,corn tortilla,grain,LAT
238378,3717,fresh cilantro,spice,LAT
238378,5012,avocado,plant,LAT
238378,4267,cabbage,plant,LAT
238378,16261,sour cream,dairy,LAT
238378,5111,lime,plant,LAT
238742,6307,olive oil,condiment,LAT
238742,5112,lime juice,plantproduct,LAT
238742,4279,carrot,plant,LAT
238742,4267,cabbage,plant,LAT
238742,5012,avocado,plant,LAT
35920,6305,vegetable oil,condiment,LAT
35920,4342,garlic,spice,LAT
35920,16403,dried oregano,spice,LAT
35920,5140,orange juice,plantproduct,LAT
35920,4342,garlic,spice,LAT
35920,3725,jalapeno pepper,plant,LAT
35920,9725,extra-virgin olive oil,condiment,LAT
35920,7842,white vinegar,condiment,LAT
35920,5112,lime juice,plantproduct,LAT
67185,1526,white sugar,condiment,LAT
67185,4343,fresh ginger root,spice,LAT
67185,5111,lime,plant,LAT
67185,20303,cinnamon stick,spice,LAT
14760,4397,onion,plant,LAT
14760,4279,carrot,plant,LAT
14760,4292,celery,plant,LAT
14760,4342,garlic,spice,LAT
14760,4786,red bell pepper,plant,LAT
14760,16404,paprika,spice,LAT
13192,3717,fresh cilantro,spice,LAT
13192,4786,red bell pepper,plant,LAT
13192,4397,onion,plant,LAT
13192,4342,garlic,spice,LAT
13192,6307,olive oil,condiment,LAT
13192,4279,carrot,plant,LAT
13192,4292,celery,plant,LAT
13192,4442,potato,plant,LAT
205799,4432,green bell pepper,plant,LAT
205799,4786,red bell pepper,plant,LAT
205799,4397,onion,plant,LAT
205799,3717,fresh cilantro,spice,LAT
205799,6307,olive oil,condiment,LAT
205799,4342,garlic,spice,LAT
205799,16406,ground black pepper,spice,LAT
205799,16403,dried oregano,spice,LAT
205799,6307,olive oil,condiment,LAT
205799,4582,tomato sauce,plantproduct,LAT
205799,3103,ground beef,animal,LAT
205799,16317,egg,animal,LAT
